Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2024/25

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Andel (%) med examen;Procentuell andel elever som fått gymnasieexamen av samtliga avgångselever. Kraven för examen beskrivs i analysstödet.;
Andel (%) med studiebevis;Andel (%) elever med studiebevis om minst 2500 poäng. Kraven för studiebevis beskrivs i analysstödet.;
Andel (%) med grundl. behörighet;Andel (%) elever med grundläggande behörighet för högskolestudier.;
GBP för elever med examen eller studiebevis;Genomsnittliga betygspoängen för samtliga avgångselever. Hur den genomsnittliga betygspoängen beräknas beskrivs i analysstödet.;
GBP för elever med examen;Genomsnittliga betygspoängen för de elever som uppnått examen från antingen ett yrkesprogram eller ett högskoleförberedande program.;
Eng 5;Engelska 5 (100 poäng);
Historia 1;Historia 1a1 (50 poäng) för TE samt yrkesprogram alt Historia 1b (100 poäng) EK, ES, HU, NA och SA;
Idrott 1;Idrott och hälsa 1 (100 poäng);
Ma 1;Matematik 1a (100 poäng) för yrkesprogram alt Matematik 1b (100 poäng) för EK, ES, HU och SA alt Matematik 1c (100 poäng) för NA och TE.;
Na 1;Naturvetenskap 1a1 (50 poäng) för yrkesprogram alt Naturvetenskap 1b (100 poäng) för SA, HU, ES, EK. Kursen läses inte av elever på NA eller TE.;
Re 1;Religionskunskap 1 (50 poäng);
Sam 1;Samhällskunskap 1a1 (50 poäng) för yrkesprogram alt Samhällskunskap 1b (100 poäng) för högskoleförberedande program;
Sv 1;Svenska 1 (100 poäng);
Sv andraspr. 1;Svenska som andra språk 1 (100 poäng);
Gymnarb.;Gymnasiearbete (100 poäng);

Riksrekryterande utbildningar i tabellen avser de riksrekryterande utbildningar som har egna examensmål.

Elever som slutfört en International Baccalaureateutbildning (IB) har fått grundläggande behörighet till högskola och universitet.
Däremot har de egna examensmål och kurser vilka inte kan likställas med de nationella programmens.


